Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
0,2001,58,1.6,1.002,27,84,94,100,100,98,0,90,3.98,3.224,18,46,6.6,1,35,4.03,652,12.24,123,0,0,0,0,0,0,2.516,44.689,43.039,255,0.942,0.942,0.998,84.78
0.047,2001,70.5,1.6,1.002,27,84,94,100,100,98,0,90,4.688,3.924,18,47,7.8,1,35,4.03,652,12.12,123,0,0,0,0,0,0,3.062,42.811,41.155,255,0.942,0.942,0.998,84.78
0.094,2011,85.3,1.6,1,27,84,94,100,100,98,0,90,5.488,4.732,18,47,9.2,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.711,43.503,41.849,255,0.94,0.94,1,84.6
0.14,2012,85.3,1.6,0.996,27,84,94,100,100,98,0,90,5.496,4.732,18,46,9.2,1,35,4.03,652,12.12,123,0,0,0,0,0,0,3.713,43.009,41.353,255,0.936,0.936,1.004,84.24
0.187,1996,71.5,1.6,0.996,27,84,94,100,100,98,0,90,4.744,3.988,18,46,7.9,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.104,40.242,38.576,255,0.936,0.936,1.004,84.24
0.234,2001,57.5,1.6,0.998,27,84,94,100,100,98,0,90,3.964,3.208,18,46,6.6,1,35,4.03,652,12.24,123,0,0,0,0,0,0,2.503,44.689,43.039,255,0.938,0.938,1.002,84.42
0.281,2000,70.5,1.6,1,27,84,94,100,100,98,0,90,4.68,3.924,18,46,7.8,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.061,40.44,38.774,255,0.94,0.94,1,84.6
0.328,2009,85.5,1.6,1,27,84,94,100,100,98,0,90,5.524,4.768,18,47,9.2,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.736,43.404,41.75,255,0.94,0.94,1,84.6
0.375,1996,72.5,1.6,1.002,27,84,94,100,100,98,0,90,4.792,4.036,18,47,8,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.142,42.021,40.361,255,0.942,0.942,0.998,84.78
0.422,2005,58.3,1.6,1.002,27,84,94,100,100,98,0,90,3.98,3.224,18,47,6.7,1,35,4.03,652,12.24,123,0,0,0,0,0,0,2.521,41.032,39.369,255,0.942,0.942,0.998,84.78
0.469,2004,70.8,1.6,1,27,84,94,100,100,98,0,90,4.68,3.924,18,47,7.8,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.067,43.009,41.353,255,0.94,0.94,1,84.6
0.515,2002,69.5,1.6,0.998,27,84,94,100,100,98,0,90,4.632,3.876,18,46,7.7,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.026,40.538,38.874,255,0.938,0.938,1.002,84.42
0.562,2010,86,1.6,0.998,27,84,94,100,100,98,0,90,5.552,4.796,18,46,9.3,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.76,44.886,43.237,255,0.938,0.938,1.002,84.42
0.609,1997,71.8,1.6,1,27,84,94,100,100,98,0,90,4.744,3.988,18,47,7.9,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.106,40.341,38.675,255,0.94,0.94,1,84.6
0.656,2004,57.5,1.6,0.996,27,84,94,100,100,98,0,90,3.972,3.208,18,47,6.6,1,35,4.03,652,12.12,123,0,0,0,0,0,0,2.507,43.898,42.245,255,0.936,0.936,1.004,84.24
0.703,2002,70.8,1.6,0.998,27,84,94,100,100,98,0,90,4.68,3.924,18,47,7.8,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.064,42.021,40.361,255,0.938,0.938,1.002,84.42
0.75,2012,85.5,1.6,0.998,27,84,94,100,100,98,0,90,5.532,4.768,18,47,9.3,1,35,4.03,652,12.12,123,0,0,0,0,0,0,3.741,41.329,39.667,255,0.938,0.938,1.002,84.42
0.797,2000,71.8,1.6,0.998,27,84,94,100,100,98,0,90,4.744,3.988,18,47,7.9,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.111,42.317,40.659,255,0.938,0.938,1.002,84.42
0.844,2000,58,1.6,1.006,27,84,94,100,100,98,0,90,4.72,3.956,18,46,7.9,1,35,4.03,652,12.12,123,0,0,0,0,0,0,3.086,40.242,38.576,255,0.946,0.946,0.994,85.14
0.89,2003,57.5,1.6,1.006,27,84,94,100,100,98,0,90,3.964,3.208,18,46,6.6,1,35,4.03,652,12.24,123,0,0,0,0,0,0,2.506,44.392,42.741,255,0.946,0.946,0.994,85.14
0.953,2001,70.3,1.6,1.009,27,84,94,100,100,98,0,90,4.664,3.908,18,47,7.8,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.05,41.527,39.865,255,0.948,0.948,0.992,85.32
1,2002,70.5,1.6,1.002,27,84,94,100,100,98,0,90,4.68,3.924,18,47,7.8,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.064,40.242,38.576,255,0.942,0.942,0.998,84.78
1.047,2011,85.8,1.6,0.996,27,84,94,100,100,98,0,90,5.532,4.768,18,47,9.3,1,35,4.03,652,12.12,123,0,0,0,0,0,0,3.739,43.602,41.948,255,0.936,0.936,1.004,84.24
1.094,2001,71.8,1.6,0.996,27,84,94,100,100,98,0,90,4.744,3.988,18,47,7.9,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.112,43.7,42.047,255,0.936,0.936,1.004,84.24
1.14,2006,58.3,1.6,1,27,84,94,100,100,98,0,90,3.98,3.224,18,46,6.7,1,35,4.03,652,12.24,123,0,0,0,0,0,0,2.522,43.404,41.75,255,0.94,0.94,1,84.6
1.187,2002,71.3,1.6,1.002,27,84,94,100,100,98,0,90,4.712,3.956,18,46,7.9,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.089,42.515,40.857,255,0.942,0.942,0.998,84.78
1.25,2002,71.3,1.6,1.009,27,84,94,100,100,98,0,90,4.712,3.956,18,47,7.9,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.089,39.451,37.783,255,0.948,0.948,0.992,85.32
1.297,2007,69.5,1.6,1,27,84,94,100,100,98,0,90,4.632,3.876,18,47,7.7,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.034,39.748,38.08,255,0.94,0.94,1,84.6
1.344,2018,85,1.6,0.998,27,84,94,100,100,98,0,90,5.488,4.732,18,46,9.2,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.724,44.096,42.444,255,0.938,0.938,1.002,84.42
1.39,2008,71.5,1.6,1.002,27,84,94,100,100,98,0,90,4.744,3.988,18,46,7.9,1,35,4.03,652,12.24,123,0,0,0,0,0,0,3.123,42.021,40.361,255,0.942,0.942,0.998,84.78
1.437,2012,57.8,1.6,1,27,84,94,100,100,98,0,90,3.964,3.208,18,46,6.6,1,35,4.03,652,12.24,123,0,0,0,0,0,0,2.517,43.898,42.245,255,0.94,0.94,1,84.6
1.484,2012,69.8,1.6,0.998,27,84,94,100,100,98,0,90,4.64,3.876,18,46,7.8,1,35,4.03,652,12.12,123,0,0,0,0,0,0,3.041,41.823,40.163,255,0.938,0.938,1.002,84.42
1.531,2013,85.3,1.6,1,27,84,94,100,100,98,0,90,4.712,3.956,18,47,7.9,1,35,4.03,651,12.24,123,0,0,0,0,0,0,3.106,41.032,39.369,255,0.94,0.94,1,84.6
1.578,2023,85,1.6,1.002,27,84,94,100,100,98,0,90,5.488,4.732,18,47,9.3,1,35,4.03,651,12.24,123,0,0,0,0,0,0,3.733,44.689,43.039,255,0.942,0.942,0.998,84.78
1.625,2012,71.8,1.6,1.002,27,84,94,100,100,98,0,90,4.744,3.988,18,46,8,1,35,4.03,651,12.24,123,0,0,0,0,0,0,3.129,40.835,39.171,255,0.942,0.942,0.998,84.78
1.672,2018,57.8,1.6,1.002,27,84,94,100,100,98,0,90,3.964,3.208,18,46,6.7,1,35,4.03,652,12.24,123,0,0,0,0,0,0,2.525,44.491,42.84,255,0.942,0.942,0.998,84.78
1.719,2016,70.3,1.6,0.998,27,84,94,100,100,98,0,90,4.672,3.908,18,46,7.8,1,35,4.03,651,12.12,123,0,0,0,0,0,0,3.073,41.724,40.064,255,0.938,0.938,1.002,84.42
1.765,2026,85.3,1.6,1.002,27,84,94,100,100,98,0,90,5.488,4.732,18,46,9.3,1,35,4.03,651,12.24,123,0,0,0,0,0,0,3.739,41.23,39.568,255,0.942,0.942,0.998,84.78
1.812,2017,72.3,1.6,1.002,27,84,94,100,100,98,0,90,4.776,4.02,18,46,8,1,35,4.03,651,12.24,123,0,0,0,0,0,0,3.162,42.218,40.559,255,0.942,0.942,0.998,84.78
1.859,2017,71.3,1.6,0.998,27,84,94,100,100,98,0,90,4.712,3.956,18,46,7.9,1,35,4.03,651,12.24,123,0,0,0,0,0,0,3.112,40.637,38.973,255,0.938,0.938,1.002,84.42
1.906,2023,57.5,1.6,1.002,27,84,94,100,100,98,0,90,3.964,3.208,18,46,6.7,1,35,4.03,651,12.24,123,0,0,0,0,0,0,2.531,44.096,42.444,255,0.942,0.942,0.998,84.78
1.953,2021,71.3,1.6,1.002,27,84,94,100,100,98,0,90,4.712,3.956,18,46,7.9,1,35,4.03,651,12.24,123,0,0,0,0,0,0,3.118,40.637,38.973,255,0.942,0.942,0.998,84.78
2,2032,85,1.6,1.002,27,84,94,100,100,98,0,90,5.496,4.732,18,46,9.3,1,35,4.03,651,12.12,123,0,0,0,0,0,0,3.75,44.096,42.444,255,0.942,0.942,0.998,84.78
