Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
0,2013,71.8,1.6,0.9,29,85,92,100,100,97,0,90,5.032,4.276,18,46,8.4,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,3.357,42.021,40.361,255,0.828,0.828,1.002,82.671
0.047,2022,58.3,1.6,0.896,29,85,92,100,100,97,0,90,4.236,3.472,18,46,7.1,0.901,35,4.03,644,12.12,123,0,0,0,0,0,0,2.738,42.218,40.559,255,0.824,0.824,1.006,82.28
0.094,2021,58.5,1.6,0.898,29,85,92,100,100,97,0,90,4.256,3.5,18,46,7.2,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,2.759,43.009,41.353,255,0.826,0.826,1.004,82.475
0.141,2019,70.8,1.6,0.9,29,85,92,100,100,97,0,90,4.972,4.216,18,46,8.4,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,3.32,41.428,39.766,255,0.828,0.828,1.002,82.671
0.187,2029,85.5,1.6,0.896,29,85,92,100,100,97,0,90,5.868,5.112,18,46,9.9,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,4.045,45.479,43.832,255,0.824,0.824,1.006,82.28
0.234,2017,72,1.6,0.896,29,85,92,100,100,97,0,90,5.064,4.308,18,46,8.5,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,3.389,42.811,41.155,255,0.824,0.824,1.006,82.28
0.281,2022,57.3,1.6,0.896,29,85,92,100,100,97,0,90,4.164,3.408,18,46,7,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,2.687,46.368,44.725,255,0.824,0.824,1.006,82.28
0.344,2018,69.5,1.6,0.896,29,85,92,100,100,97,0,90,4.923,4.152,18,46,8.3,0.901,35,4.03,644,12,123,0,0,0,0,0,0,3.268,42.416,40.758,255,0.824,0.824,1.006,82.28
0.391,2018,70.3,1.6,0.896,29,85,92,100,100,97,0,90,4.94,4.184,18,46,8.3,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,3.293,41.131,39.469,255,0.824,0.824,1.006,82.28
0.437,2028,85,1.6,0.896,29,85,92,100,100,97,0,90,5.84,5.084,18,46,9.9,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,4.021,42.91,41.254,255,0.824,0.824,1.006,82.28
0.484,2015,72.3,1.6,0.894,29,85,92,100,100,97,0,90,5.064,4.308,18,46,8.5,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,3.385,41.032,39.369,255,0.822,0.822,1.009,82.084
0.531,2022,57.8,1.6,0.9,29,85,92,100,100,97,0,90,4.196,3.44,18,46,7.1,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,2.713,45.677,44.03,255,0.828,0.828,1.002,82.671
0.578,2017,70,1.6,0.9,29,85,92,100,100,97,0,90,4.948,4.184,18,46,8.3,0.901,35,4.03,644,12.12,123,0,0,0,0,0,0,3.291,43.009,41.353,255,0.828,0.828,1.002,82.671
0.625,2027,85.3,1.6,0.9,29,85,92,100,100,97,0,90,5.84,5.084,18,47,9.9,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,4.019,45.776,44.13,255,0.828,0.828,1.002,82.671
0.672,2016,72,1.6,0.898,29,85,92,100,100,97,0,90,5.072,4.308,18,47,8.5,0.901,35,4.03,644,12.12,123,0,0,0,0,0,0,3.387,42.91,41.254,255,0.826,0.826,1.004,82.475
0.719,2013,71,1.6,0.894,29,85,92,100,100,97,0,90,5,4.244,18,46,8.4,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,3.332,41.131,39.469,255,0.822,0.822,1.009,82.084
0.766,2016,57.8,1.6,0.891,29,85,92,100,100,97,0,90,4.196,3.44,18,46,7,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,2.705,42.416,40.758,255,0.82,0.82,1.011,81.889
0.812,2013,70.3,1.6,0.891,29,85,92,100,100,97,0,90,4.94,4.184,18,46,8.3,0.901,35,4.03,644,12.24,123,0,0,0,0,0,0,3.285,41.329,39.667,255,0.82,0.82,1.011,81.889
0.859,2024,85.3,1.6,0.894,29,85,92,100,100,97,0,90,5.848,5.084,18,46,9.9,0.901,35,4.03,644,12.12,123,0,0,0,0,0,0,4.013,45.677,44.03,255,0.822,0.822,1.009,82.084
